0	0	38263
0	1000000	23622
1000000	1000000	234653
0	2000000	1907
1000000	2000000	31977
2000000	2000000	220271
0	3000000	1207
1000000	3000000	14262
2000000	3000000	70743
3000000	3000000	224275
0	4000000	539
1000000	4000000	6365
2000000	4000000	29966
3000000	4000000	56416
4000000	4000000	286385
0	5000000	510
1000000	5000000	5786
2000000	5000000	24015
3000000	5000000	36728
4000000	5000000	104114
5000000	5000000	296530
0	6000000	1326
1000000	6000000	8848
2000000	6000000	12297
3000000	6000000	17687
4000000	6000000	15028
5000000	6000000	44035
6000000	6000000	367187
0	7000000	499
1000000	7000000	3975
2000000	7000000	8445
3000000	7000000	10284
4000000	7000000	14928
5000000	7000000	25049
6000000	7000000	78436
7000000	7000000	330580
0	8000000	710
1000000	8000000	3679
2000000	8000000	2704
3000000	8000000	3188
4000000	8000000	2759
5000000	8000000	3723
6000000	8000000	17295
7000000	8000000	42745
8000000	8000000	411404
0	9000000	906
1000000	9000000	3977
2000000	9000000	2287
3000000	9000000	2335
4000000	9000000	1915
5000000	9000000	2364
6000000	9000000	9669
7000000	9000000	10777
8000000	9000000	68807
9000000	9000000	449356
0	10000000	565
1000000	10000000	2917
2000000	10000000	2282
3000000	10000000	2435
4000000	10000000	2225
5000000	10000000	3224
6000000	10000000	8173
7000000	10000000	9791
8000000	10000000	16097
9000000	10000000	86701
10000000	10000000	377292
0	11000000	717
1000000	11000000	3692
2000000	11000000	3851
3000000	11000000	4080
4000000	11000000	3728
5000000	11000000	5072
6000000	11000000	10746
7000000	11000000	11878
8000000	11000000	11426
9000000	11000000	22218
10000000	11000000	83754
11000000	11000000	421647
0	12000000	518
1000000	12000000	3002
2000000	12000000	3617
3000000	12000000	4471
4000000	12000000	4970
5000000	12000000	6638
6000000	12000000	9723
7000000	12000000	10561
8000000	12000000	8322
9000000	12000000	8895
10000000	12000000	13757
11000000	12000000	62557
12000000	12000000	356681
0	13000000	67
1000000	13000000	439
2000000	13000000	1094
3000000	13000000	1328
4000000	13000000	2236
5000000	13000000	2919
6000000	13000000	1618
7000000	13000000	3050
8000000	13000000	918
9000000	13000000	740
10000000	13000000	1427
11000000	13000000	2869
12000000	13000000	7999
13000000	13000000	48719
0	14000000	294
1000000	14000000	1905
2000000	14000000	4503
3000000	14000000	4960
4000000	14000000	9343
5000000	14000000	11084
6000000	14000000	6459
7000000	14000000	10022
8000000	14000000	3903
9000000	14000000	3255
10000000	14000000	5165
11000000	14000000	9090
12000000	14000000	22584
13000000	14000000	36548
14000000	14000000	319197
0	15000000	528
1000000	15000000	2977
2000000	15000000	4199
3000000	15000000	4776
4000000	15000000	5898
5000000	15000000	7432
6000000	15000000	8225
7000000	15000000	8769
8000000	15000000	5370
9000000	15000000	5099
10000000	15000000	6783
11000000	15000000	10871
12000000	15000000	21428
13000000	15000000	12005
14000000	15000000	109650
15000000	15000000	414737
0	16000000	608
1000000	16000000	3190
2000000	16000000	2366
3000000	16000000	2516
4000000	16000000	1882
5000000	16000000	2286
6000000	16000000	6034
7000000	16000000	4214
8000000	16000000	5560
9000000	16000000	6156
10000000	16000000	6253
11000000	16000000	9857
12000000	16000000	10507
13000000	16000000	2064
14000000	16000000	11373
15000000	16000000	67686
16000000	16000000	360913
0	17000000	382
1000000	17000000	2114
2000000	17000000	3239
3000000	17000000	3553
4000000	17000000	3716
5000000	17000000	4652
6000000	17000000	6038
7000000	17000000	6658
8000000	17000000	3580
9000000	17000000	3359
10000000	17000000	4472
11000000	17000000	7663
12000000	17000000	8539
13000000	17000000	2676
14000000	17000000	10434
15000000	17000000	15400
16000000	17000000	32291
17000000	17000000	306738
0	18000000	256
1000000	18000000	1890
2000000	18000000	4935
3000000	18000000	5580
4000000	18000000	8256
5000000	18000000	10477
6000000	18000000	5984
7000000	18000000	11006
8000000	18000000	2704
9000000	18000000	2409
10000000	18000000	3884
11000000	18000000	6971
12000000	18000000	9245
13000000	18000000	4254
14000000	18000000	15205
15000000	18000000	14129
16000000	18000000	9880
17000000	18000000	73426
18000000	18000000	375525
0	19000000	503
1000000	19000000	2693
2000000	19000000	3476
3000000	19000000	3698
4000000	19000000	3464
5000000	19000000	4414
6000000	19000000	6106
7000000	19000000	6046
8000000	19000000	3723
9000000	19000000	3761
10000000	19000000	4741
11000000	19000000	7367
12000000	19000000	7624
13000000	19000000	1947
14000000	19000000	7495
15000000	19000000	9705
16000000	19000000	10511
17000000	19000000	28935
18000000	19000000	78266
19000000	19000000	446758
0	20000000	363
1000000	20000000	1893
2000000	20000000	2547
3000000	20000000	2801
4000000	20000000	3223
5000000	20000000	3996
6000000	20000000	4534
7000000	20000000	5947
8000000	20000000	3264
9000000	20000000	3131
10000000	20000000	4197
11000000	20000000	5928
12000000	20000000	6166
13000000	20000000	1804
14000000	20000000	6929
15000000	20000000	7676
16000000	20000000	7499
17000000	20000000	16297
18000000	20000000	30762
19000000	20000000	78351
20000000	20000000	421244
0	21000000	348
1000000	21000000	1550
2000000	21000000	1173
3000000	21000000	1182
4000000	21000000	1087
5000000	21000000	1402
6000000	21000000	3046
7000000	21000000	2503
8000000	21000000	2944
9000000	21000000	3157
10000000	21000000	3397
11000000	21000000	3828
12000000	21000000	3458
13000000	21000000	663
14000000	21000000	2754
15000000	21000000	4201
16000000	21000000	5568
17000000	21000000	7205
18000000	21000000	8239
19000000	21000000	17345
20000000	21000000	60566
21000000	21000000	360044
0	22000000	353
1000000	22000000	1477
2000000	22000000	1608
3000000	22000000	1736
4000000	22000000	1746
5000000	22000000	2143
6000000	22000000	3097
7000000	22000000	3450
8000000	22000000	2475
9000000	22000000	2862
10000000	22000000	3228
11000000	22000000	4150
12000000	22000000	3602
13000000	22000000	861
14000000	22000000	3606
15000000	22000000	4492
16000000	22000000	4824
17000000	22000000	7581
18000000	22000000	11002
19000000	22000000	13707
20000000	22000000	27424
21000000	22000000	77766
22000000	22000000	387342
0	23000000	347
1000000	23000000	1631
2000000	23000000	1399
3000000	23000000	1451
4000000	23000000	1422
5000000	23000000	1747
6000000	23000000	3135
7000000	23000000	3025
8000000	23000000	2941
9000000	23000000	3230
10000000	23000000	3305
11000000	23000000	3889
12000000	23000000	3525
13000000	23000000	772
14000000	23000000	3167
15000000	23000000	4311
16000000	23000000	5007
17000000	23000000	6464
18000000	23000000	8425
19000000	23000000	11037
20000000	23000000	17460
21000000	23000000	23668
22000000	23000000	87748
23000000	23000000	418191
0	24000000	312
1000000	24000000	1264
2000000	24000000	932
3000000	24000000	1021
4000000	24000000	903
5000000	24000000	1122
6000000	24000000	2125
7000000	24000000	2040
8000000	24000000	2365
9000000	24000000	2519
10000000	24000000	2450
11000000	24000000	2821
12000000	24000000	2538
13000000	24000000	511
14000000	24000000	2169
15000000	24000000	3022
16000000	24000000	3742
17000000	24000000	4196
18000000	24000000	4788
19000000	24000000	6168
20000000	24000000	8329
21000000	24000000	9087
22000000	24000000	15410
23000000	24000000	63467
24000000	24000000	363412
0	25000000	301
1000000	25000000	1186
2000000	25000000	785
